 Originator ,Govt Loan #,"Notional Gtd
 US Metro Bank ,4493749100," 1,038,000.00 "," 73,415.66 ",1.500%,2.105%,3.360,7.073%,11/8/2022,11/8/2047,Yealem LLC,San Diego,CA,92108,623312
 CalPrivate Bank ,4499069109," 1,097,517.63 "," 26,919.91 ",2.000%,0.730%,3.360,2.453%,11/7/2022,11/9/2047,Home Expo Commercial LLC ,Santa Ana,CA,92703,444180
 American Momentum Bank ,4503089108," 649,875.00 "," 26,858.03 ",2.500%,1.230%,3.360,4.133%,11/16/2022,11/16/2047,Just for Kids East Hovis & Box 2,Melbourne,FL,32922,624410
 Celtic Bank ,4507539109," 1,050,000.00 "," 43,394.40 ",2.500%,1.230%,3.360,4.133%,11/14/2022,11/14/2047,TERRELL BUSINESS VENTURES LLC,TERRELL,TX,75160,457110
 Promise One Bank ,4507969109," 1,350,000.00 "," 10,432.80 ",1.500%,0.230%,3.360,0.773%,11/16/2022,11/16/2047,"YELLOW LOBSTER 888 GA-5, LLC",Greensboro,NC,27406,721110
 Celtic Bank ,4509819103," 524,324.94 "," 21,669.30 ",2.500%,1.230%,3.360,4.133%,11/10/2022,11/10/2047,"SSGG, LLC",LEMON GROVE,CA,91945,531120
 Celtic Bank ,4514019104," 870,000.00 "," 35,955.36 ",2.500%,1.230%,3.360,4.133%,11/15/2022,11/15/2047,"THE CAR WASH PORT TOWNSEND, LLC",PORT TOWNSEND,WA,98368,811192
 First Chatham Bank ,4515999107," 1,215,000.00 "," 40,007.52 ",2.250%,0.980%,3.360,3.293%,11/17/2022,11/17/2047,484 Moody Drive,Maysville,State,41056,721110
 Celtic Bank ,4538129107," 699,750.00 "," 11,285.57 ",1.750%,0.480%,3.360,1.613%,11/18/2022,11/18/2047,BADEEL BUSINESS INC,GRAPELAND,TX,75844,457110
 Blue Ridge Bank ,4538549104," 693,750.00 "," 34,498.80 ",2.750%,1.480%,3.360,4.973%,11/22/2022,11/22/2047,Misha LLC,Edgewater Park,NJ,08010,531120
 Fund-Ex Solutions Group ,4542599100," 2,200,125.00 "," 109,407.82 ",2.750%,1.480%,3.360,4.973%,11/22/2022,11/22/2047,The Williams Brothers Corporation of America,Front Royal,VA,22630,332321
 HomeTrust Bank ,4550679100," 1,380,000.00 "," 33,848.64 ",2.000%,0.730%,3.360,2.453%,12/1/2022,12/1/2047,SK Ventures 1 LLC,0,NC,28174,447110
 First Horizon Bank ,4556269107," 651,750.00 "," 5,036.72 ",1.500%,0.230%,3.360,0.773%,11/22/2022,11/22/2047,"Almond Engineering, P.A",Jacksonville,FL,32217,541340
 Pacific City Bank ,4560699110," 750,000.00 "," 5,796.00 ",1.500%,0.230%,3.360,0.773%,11/25/2022,12/8/2047,Hallmark Motor,Inglewood,CA,90301,811111
 Valley National Bank ,4575689110," 708,000.00 "," 11,418.62 ",1.750%,0.480%,3.360,1.613%,11/30/2022,11/30/2047,Winter Park Auto Exchange,Orlando,FL,32807,441120
 ReadyCap ,4577119107," 1,040,925.00 "," 25,531.81 ",2.000%,0.730%,3.360,2.453%,11/29/2022,11/29/2047,PREMIER WELLNESS AND AESTHETICS,San Francisco,CA,94102,621111
 CalPrivate Bank ,4589499102," 535,500.00 "," 26,629.34 ",2.750%,1.480%,3.360,4.973%,11/25/2022,11/30/2047,Irontable LLC,La Mesa,CA,91942,423920
 Pinnacle Bank ,7187638907," 532,800.00 "," 10,389.60 ",1.500%,0.780%,2.500,1.950%,5/20/2021,11/20/2047,"Tree House # 7 Holdings, LLC & Shades of Gray Painting, LLC",High Point,NC,27265,238320
 Heritage Southeast Bank ,9990289010," 1,566,389.93 "," 54,134.44 ",2.000%,1.280%,2.700,3.456%,10/29/2021,10/29/2046,"Atlanta Eye Consultants, P.C.",Atlanta,GA,30328,621320
 M&T Bank ,3592299108," 681,390.38 "," 44,263.12 ",1.500%,2.240%,2.900,6.496%,3/24/2022,3/24/2042,"ACG Holding, LLC",Hanover,PA,17331,551112
 M&T Bank ,3908739106," 284,289.33 "," 20,528.53 ",1.750%,2.490%,2.900,7.221%,5/2/2022,5/2/2042,TLV Enterprises LLC,Doylestown,PA,18902,453998
 Quantum National Bank ,4474349103," 2,250,000.00 "," 136,788.75 ",1.250%,1.930%,3.150,6.080%,11/10/2022,11/10/2042,"Vivian Hospitality, LLC dba Rodeway Inn & Suites  ",Marietta,GA,30067,721110
 US Metro Bank ,4521729103," 318,750.00 "," 33,790.05 ",2.000%,3.155%,3.360,10.601%,11/14/2022,11/14/2047,James Auto Repair,Baldwin Park,CA,91706,811111
 Cadence Bank ,4451169105," 208,487.61 "," 10,717.93 ",1.750%,1.530%,3.360,5.141%,11/10/2022,11/10/2047,Jade Shield LLC,Georgetown,TX ,78626,621330
 PCB Bank ,4505179104," 3,375,000.00 "," 139,482.00 ",2.000%,1.230%,3.360,4.133%,11/16/2022,12/27/2047,K Pack,Broookshire,TX,77423,424610
 CAPSTAR Bank ,4549749100," 1,057,425.00 "," 17,054.15 ",1.250%,0.480%,3.360,1.613%,11/18/2022,11/18/2047,"FRNS USA, Inc. ",Cleveland ,GA ,30528,447100
 Hanmi Bank ,4405989103," 3,556,500.00 "," 27,484.63 ",1.000%,0.230%,3.360,0.773%,10/24/2022,11/10/2047,HSHAH LLC                               ,Snohomish                               ,WA,98290,447110
 Bank Five Nine ,4333747000," 927,133.37 "," 38,316.57 ",2.000%,1.230%,3.360,4.133%,7/30/2020,7/30/2046,Storage Ninja,Ashland,NE,68003,531130
 Fremont Bank ,4479849110," 3,000,000.00 "," 98,784.00 ",1.750%,0.980%,3.360,3.293%,11/23/2022,11/30/2047,"ZMC Kitchen & Bath, Inc",Rancho Cordova,CA,95742,337110
 Peoples Bank ,4529719105," 3,431,550.00 "," 141,819.10 ",2.000%,1.230%,3.360,4.133%,11/15/2022,11/15/2047,DJHN Investment LLC dba LaQuinta Inn & Suites,Midland,TX,79707,721110
 US Metro Bank ,4659189110," 3,750,000.00 "," 91,980.00 ",1.500%,0.730%,3.360,2.453%,12/13/2022,12/13/2047,BSD Hotels LLC,Katy,TX,77449,721110
 US Metro Bank ,4594819107," 1,542,000.00 "," 76,680.58 ",2.250%,1.480%,3.360,4.973%,12/1/2022,12/1/2047,Secolo Land Development LLC - 22nd St,Tucson,AZ,85710,811192
 US Metro Bank ,4594749110," 1,983,000.00 "," 98,610.62 ",2.250%,1.480%,3.360,4.973%,12/1/2022,12/1/2047,Secolo Land Development LLC - Valencia Rd,Tucson,AZ,85746,811192
 US Metro Bank ,4594829110," 225,000.00 "," 15,346.80 ",2.250%,2.030%,3.360,6.821%,12/1/2022,12/1/2047,Secolo Land Development LLC - 1st Avenue,Tucson,AZ,85719,811192
" VelocitySBA, LLC ",4264779105," 897,750.00 "," 52,184.41 ",2.500%,1.730%,3.360,5.813%,8/26/2022,12/7/2047,Charles Edward Barker,Government Camp,OR,97028,722511
 EverTrust Bank ,4350019107," 142,500.00 "," 8,522.64 ",2.000%,1.780%,3.360,5.981%,10/17/2022,10/17/2047,"HGK LLC (EPC)
Big Star Road, Inc. (OC)",Riverside,CA,92507,484110
 EverTrust Bank ,4585469107," 750,000.00 "," 18,396.00 ",1.500%,0.730%,3.360,2.453%,11/29/2022,11/29/2047,"Nvard Gevorkian EPC)
Grant Serenity of Del Mar Inc (OC)",Pasadena,CA,91107,621610
 Coulee Bank ,4567579101," 1,827,000.00 "," 14,119.06 ",1.000%,0.230%,3.360,0.773%,11/30/2022,11/30/2047,Hurley Hotel LLC ,Hurley,WI ,54534,721110
 Openbank ,4390749108," 2,159,250.00 "," 34,824.38 ",1.250%,0.480%,3.360,1.613%,10/26/2022,11/15/2047,YK 17 Investments Inc dba Rodeway Inn,Colorado Springs,CO,80905,721110
 Openbank ,4583829104," 2,280,000.00 "," 36,771.84 ",1.250%,0.480%,3.360,1.613%,11/28/2022,11/29/2047,Aadhyashivansh Hospitality Glen Rose LLC dba Baymont Inn Glen Rose (TX),Glen Rose,TX,76043,721110
 New Millennium Bank ,4188829104," 3,732,540.34 "," 60,198.41 ",1.250%,0.480%,3.360,1.613%,8/3/2022,8/3/2047,Pari Hospitality LLC,Fort Myers,FL,33907,721110
 US Metro Bank ,4586189108," 742,500.00 "," 36,923.04 ",2.250%,1.480%,3.360,4.973%,11/28/2022,11/28/2047,Little Star Learn & Play Center LLC,Torrance,CA,90504,624410
 Small Business Bank ,4642149102," 76,500.00 "," 3,932.71 ",1.750%,1.530%,3.360,5.141%,12/14/2022,12/14/2047,Destiny Consulting,Independence,MO,64055,541612
 Heritage Bank of the Ozarks ,1295139100," 114,604.10 "," 4,928.89 ",1.500%,1.280%,3.360,4.301%,3/28/2022,3/28/2047,Honey Creek Media LLC,Lebanon,MO,65536,812990
 Newtek ,3906429103," 404,250.00 "," 27,708.91 ",2.750%,2.040%,3.360,6.854%,6/16/2022,11/16/2047,"PREMIER HEALTHCARE SERVICE, LLC",Chesapeake                    ,VA, 2332,623110
 First Western SBLC ,4651389106," 538,500.00 "," 13,208.33 ",1.500%,0.730%,3.360,2.453%,12/15/2022,12/15/2047,Economy Inn,Danville,VA,24541,721110
 Midwest Regional Bank ,4299227003," 113,091.53 "," 7,523.75 ",2.750%,1.980%,3.360,6.653%,3/10/2021,6/10/2046,Harvestowne Ventures LLC,Saint Charles,MO,63304,811111
 American Momentum Bank ,4663849110," 606,000.00 "," 35,225.57 ",2.500%,1.730%,3.360,5.813%,12/21/2022,12/21/2047,Exterior Business Solutions/Apple Restoration,Ballwin,MO,63021,238190
 Peoples Bank ,4651539103," 1,009,500.00 "," 41,720.62 ",2.000%,1.230%,3.360,4.133%,12/12/2022,12/12/2047,"Texas Elite One Investments, LLC",Victoria,TX,77904,441330
 Promise One Bank ,4521309106," 375,000.00 "," 16,128.00 ",1.500%,1.280%,3.360,4.301%,12/1/2022,12/15/2047,USA Archies Hardware LLC,Kernville,CA,93238,444140
 Promise One Bank ,9030088506," 1,759,654.34 "," 75,679.21 ",1.500%,1.280%,3.360,4.301%,3/17/2021,3/22/2046,SVA HOSPITALITY LLC,Cumberland,MD,21502,721110
 Harvest Small Business Finance LLC ,4673709107," 542,775.00 "," 36,109.74 ",2.750%,1.980%,3.360,6.653%,12/16/2022,12/22/2047,"Heart River Logistics LLC and Heart River Holdings, LLC",Andrews,TX,79714,484230
 Harvest Small Business Finance LLC ,4678639109," 1,200,000.00 "," 79,833.60 ",2.750%,1.980%,3.360,6.653%,12/16/2022,12/20/2047,"Supra National Express, Inc.",Shafter,CA,93263,484121
 Magyar Bank ,4636959102," 862,500.00 "," 57,380.40 ",2.750%,1.980%,3.360,6.653%,12/21/2022,12/15/2047,A&M Transportation LLC,Rahway,NJ,07065,485410
 Merchants Bank of Indiana ,4673649102," 3,740,850.00 "," 186,024.99 ",2.250%,1.480%,3.360,4.973%,12/23/2022,12/23/2047,ZDD Enterprises LLC,Oak Lawn,IL,60453,713950
 Merchants Bank of Indiana ,4649809102," 1,369,725.00 "," 33,596.61 ",1.500%,0.730%,3.360,2.453%,12/20/2022,12/20/2047,Lien Phat & Company,Round Rock,TX,78664,524210
 Berkshire Bank ,4510369107," 667,500.00 "," 44,407.44 ",2.750%,1.980%,3.360,6.653%,12/22/2022,12/22/2047,"Grables Garage, LLC",Carlisle,PA,17015,811111
 American Momentum Bank ,4633309100," 411,750.00 "," 23,934.20 ",2.500%,1.730%,3.360,5.813%,12/27/2022,12/27/2047,"Hovis & Box 5, LLC dba Just for Kids Titusville",Titusville,FL,32780,624410
 American Momentum Bank ,4655649109," 300,375.00 "," 23,011.13 ",2.500%,2.280%,3.360,7.661%,12/27/2022,12/27/2047,"Michelle's Place Child Care Center, Inc. ",Cahokia,IL,62006,624410
 American Momentum Bank ,4678129109," 1,369,500.00 "," 79,606.30 ",2.500%,1.730%,3.360,5.813%,12/29/2022,12/29/2047,Big Dreams Pre-School,Palm Springs,FL,33461,624410
 Harvest Small Business Finance LLC ,4633539110," 641,250.00 "," 21,115.08 ",1.750%,0.980%,3.360,3.293%,12/15/2022,12/30/2047,"Triple M Real Estate Solutions, LLC",Hudson,OH,44236,524210
 Harvest Small Business Finance LLC ,4634349103," 1,806,000.00 "," 44,297.57 ",1.500%,0.730%,3.360,2.453%,12/22/2022,12/30/2047,"SPR, LLC",Ponte Vedra Beach,FL,32082,812910
 Harvest Small Business Finance LLC ,4637389110," 412,500.00 "," 20,512.80 ",2.250%,1.480%,3.360,4.973%,12/21/2022,12/30/2047,Roger H. Chien,Rancho Cucamonga,CA,91730,541110
 Harvest Small Business Finance LLC ,4661029107," 956,250.00 "," 39,519.90 ",2.000%,1.230%,3.360,4.133%,12/20/2022,12/28/2047,David A. Beador,Wildomar,CA,92595,237310
 Harvest Small Business Finance LLC ,4661149108," 510,000.00 "," 21,077.28 ",2.000%,1.230%,3.360,4.133%,12/21/2022,12/28/2047,David A. Beador,Costa Mesa,CA,92626,237310
 Harvest Small Business Finance LLC ,4668169106," 422,550.00 "," 28,111.41 ",2.750%,1.980%,3.360,6.653%,12/23/2022,12/30/2047,Patricia Jean Belanger,Santa Rosa,CA,95401,112920
 Truliant Federal Credit Union ,4686239107," 1,498,800.00 "," 36,762.57 ",1.500%,0.730%,3.360,2.453%,12/23/2022,12/23/2047,"Mulch Solutions, LLC",Concord,NC,28025,812990
 Merchants Bank of Indiana ,4473669103," 594,450.00 "," 19,574.05 ",1.750%,0.980%,3.360,3.293%,11/7/2022,2/7/2048,Avyhana II LLC,Charlotte,NC,28216,621340
" VelocitySBA, LLC ",4668629102," 375,000.00 "," 22,428.00 ",2.000%,1.780%,3.360,5.981%,12/23/2022,12/29/2047,FARIAS TOWING INC,San Bernardino,CA,92407,488410
" VelocitySBA, LLC ",4672819103," 1,275,000.00 "," 52,693.20 ",2.000%,1.230%,3.360,4.133%,12/29/2022,12/29/2047,MOOVERS CHICAGO INC,Chicago,IL,60639,484220
 HomeTrust Bank ,4604079104," 1,331,250.00 "," 66,200.40 ",2.250%,1.480%,3.360,4.973%,12/22/2022,12/22/2047,CAM Investment Group LLC,Porter,TX,77365,722511
 First Bank ,4695659106," 907,500.00 "," 45,128.16 ",2.250%,1.480%,3.360,4.973%,12/30/2022,12/30/2047,"Wyoming Machine, LLC",Duncan,SC,29334,333519
 Incredible Bank ,4290039110," 1,191,738.55 "," 49,252.17 ",2.000%,1.230%,3.360,4.133%,12/9/2022,12/9/2047,K&B Associates Inc.,Sacramento,CA,95835,445310
 First Internet Bank ,4203739100," 1,045,342.45 "," 99,966.10 ",2.750%,3.275%,2.920,9.563%,9/9/2022,9/9/2037,Rkarana Inc ,Detroit ,MI,48219,445310
 Byline Bank ,4269719108," 746,250.00 "," 72,671.32 ",2.750%,3.335%,2.920,9.738%,9/16/2022,9/16/2037,"PROPSF, LLC",Emeryville,CA,94608,483114
 Pinnacle Bank ,4347969109," 903,750.00 "," 60,036.11 ",1.750%,2.275%,2.920,6.643%,10/7/2022,10/7/2037,"Gulf Glo Properties, LLC/ Gulf Glo, LLC",Panama City,.FL,32451,453999
 Seacoast National Bank ,4544509110," 122,825.00 "," 13,718.32 ",2.750%,3.825%,2.920,11.169%,11/21/2022,11/21/2037,9140 CR 229 LLC,Ft Lauderdale,FL,33309,531390
 First Internet Bank ,4463189108," 789,750.00 "," 58,228.27 ",2.000%,2.525%,2.920,7.373%,11/30/2022,11/30/2037,"Mats & Supplies, LLC dba Mats Inc. and dba Industrial Chemical Cleaner",Houston,TX,77021,423990
 First Internet Bank ,4463089102," 1,710,000.00 "," 163,527.30 ",2.750%,3.275%,2.920,9.563%,12/6/2022,10/6/2037,ELMM Liquor LLC,Redford Township,Mi,48240,445310
 Berkshire Bank ,4641369107," 1,124,100.00 "," 115,703.61 ",3.000%,3.525%,2.920,10.293%,12/13/2022,12/13/2037,Matador Foods LLC,Blanchard,OK,73010,311412
 Busey Bank ,3897099108," 1,019,633.54 "," 75,177.58 ",2.000%,2.525%,2.920,7.373%,5/12/2022,9/12/2037,"Bixby Eye Center Property LLC/ The Bixby Eye Center, Inc.",Peoria,IL,61614,621320
 PCB Bank ,4211259109," 176,265.08 "," 11,908.47 ",2.250%,2.815%,2.400,6.756%,8/17/2022,9/15/2032,Silverlake Ramen,Van Nuys,CA,91401,722511
 Oconee State Bank ,4311289104," 302,250.00 "," 24,047.01 ",2.750%,3.315%,2.400,7.956%,9/23/2022,9/23/2032,52 West Brewing Company,Dahlonega,GA,30536,312120
 Key Bank ,3984879104," 395,325.00 "," 26,708.16 ",2.250%,2.815%,2.400,6.756%,7/22/2022,1/22/2033,Happy San Diego LLC,Encinitas,CA,92002,713940
 Pinnacle Bank ,3890399101," 441,000.00 "," 29,793.96 ",2.250%,2.815%,2.400,6.756%,12/15/2022,12/15/2032,"Skinner Holdings, LLC dba Burn Boot Camp Ashburn",Ashburn,VA,20148,713940
 Pinnacle Bank ,4667179107," 516,000.00 "," 37,213.92 ",2.500%,3.005%,2.400,7.212%,12/22/2022,12/22/2032,"KR & Company, LLC Mint Springs Farm",Nashville,TN,37135,812990
 Professional Bank ,4504059101," 375,000.00 "," 25,245.00 ",1.750%,2.805%,2.400,6.732%,12/29/2022,12/29/2032,GM Academic Centers LLC ,Royal Palm Beach,FL,33411,624410
 Professional Bank ,4663499101," 2,043,000.00 "," 147,341.16 ",2.500%,3.005%,2.400,7.212%,12/28/2022,12/28/2032,PC ACK LLC dba PIONEER CLEANING ,Nantucket,MA,02554,561720
 ACNB Bank ,4476619105," 122,400.00 "," 6,036.77 ",1.000%,2.055%,2.400,4.932%,12/16/2022,12/16/2032,Watts Tree Service LLC ,Thurmont,MD,21788,561730
 First Internet Bank ,4650729110," 2,276,100.00 "," 150,495.73 ",2.250%,2.755%,2.400,6.612%,12/28/2022,12/28/2032,Kosch Manufacturing LLC ,Columbus ,NE,68601,333111
 Fresno First Bank ,3737289107," 562,439.55 "," 41,373.05 ",2.500%,3.065%,2.400,7.356%,4/8/2022,12/8/2032,Crumbl-Capitola,Soquel,CA,95073,445291
 Fresno First Bank ,4671729109," 515,155.76 "," 30,971.16 ",2.000%,2.505%,2.400,6.012%,12/21/2022,12/21/2032,Yasrebi Insurance Brokerage LLC,Sacramento,CA,95814,524210
" American Bank, Inc. ",2837809100," 250,000.00 "," 13,890.00 ",1.750%,2.315%,2.400,5.556%,2/2/2022,2/2/2033,"Wederstrandt Investment Properties, LLC",Maurepas,LA,70449,445110
 Fresno First Bank ,4284519105," 168,019.72 "," 13,327.32 ",2.250%,3.305%,2.400,7.932%,9/9/2022,9/9/2032,TKO Medical Corporation,Fresno,CA,93726,446199
 Hancock Whitney Bank ,4237919104," 191,914.43 "," 17,525.63 ",2.750%,3.805%,2.400,9.132%,9/16/2022,9/16/2032,Feng Cha Rowlett,Rowlett,TX,75088,722515
 Ampac ,4147349106," 128,930.25 "," 11,773.91 ",2.750%,3.805%,2.400,9.132%,8/30/2022,8/30/2032,Hummble Translations LLC,Sacramento,CA,95834,541930
 Woori America Bank ,3954719101," 290,985.63 "," 8,860.51 ",0.500%,1.015%,3.000,3.045%,5/3/2022,5/3/2047,GAMSA GROUP LLC (WEDDING STORY LLC),Fairfax,VA,22031,812990
 US Metro Bank ,4477129102," 641,250.00 "," 47,508.93 ",1.750%,2.205%,3.360,7.409%,11/9/2022,11/9/2047,Gratum Consulting,Los Angeles,CA,90047,541611
 US Metro Bank ,4560839104," 2,835,000.00 "," 210,039.48 ",1.750%,2.205%,3.360,7.409%,12/9/2022,12/9/2047,North Kansas City Hospitality LLC,Kansas City,MO,64116,721110
 Busey Bank ,2717829101," 467,949.94 "," 35,612.86 ",1.750%,2.265%,3.360,7.610%,1/31/2022,1/31/2047,"REHC1, LLC / Neil J Koppel D.C., P.A.",Naples,FL,34110,621310
 Celtic Bank ,4601309106," 877,250.00 "," 72,362.60 ",2.000%,2.455%,3.360,8.249%,12/5/2022,12/5/2047,Baymont Inn & Suites,Walterboro,SC,29488,721110
 NewBank ,4334679106," 844,090.70 "," 62,536.99 ",1.750%,2.205%,3.360,7.409%,10/27/2022,10/27/2047,"HC First LLC & 361 Kearny Wine and Liquor, Inc",Kearny,NJ,07032,445310
 Grasshopper Bank ,4715869108," 453,750.00 "," 33,617.43 ",1.750%,2.205%,3.360,7.409%,1/9/2023,1/9/2048,Dulce Vida Cinco LLC,Plain City,OH,43064,722515
